userid,type,ImageID,Label,RatingA,RatingC,RatingK,Length_Drawn
194,7,674,arrow,3,2,1,53525
180,2,675,a pencil writing on paper,4,5,3,52719
171,1,676,cul de sac,5,2,3,9941
173,6,677,lady wearing a skirt,4,2,3,26935
191,6,678,2 tutals,4,3,2,26644
107,4,679,no label,2,2,1,12286
133,5,680,a present,3,3,4,49340
101,4,681,a boy,4,5,4,22291
181,3,682,cone,1,1,1,51427
150,3,683,fisherman catching a fish,4,3,5,37787
135,6,684,christmas tree,2,2,3,36226
122,3,685,a runny nose,5,5,4,205489
153,5,686,a man waving to someone through his window,4,3,5,39307
129,4,687,i tried to draw someone holding a purse but it skipped,NA,2,3,6613
108,2,688,a thin jumping guy,3,2,4,3962
110,3,689,ghost,3,2,4,111355
108,1,690,a smiling boy,3,2,2,6708
139,7,691,chinese handcuff,4,1,4,7097
113,7,692,eraser,2,1,3,1577
143,3,693,jack o'lantern,3,1,5,22479
